trial_idx,score,batch_size,partition_strategy,partition_shards,total_latency_cycles,compute_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
104,-133348.494,4,col,7,129959,95262,4588,4681,4812,1591,0,0,869220,194,0,38.94140473418704,0.07717306946061311,cube,16,27,5,flat_butterfly,ugal,credit_vc,4,16,mesh2d,table_based,wormhole,4,nearest,nearest
105,-3807910.64,16,expert,1,3226718,2629698,491720,7392,0,3338532,0,0,1571280,1040,0,32.79879070147486,1.0,cube,16,27,5,torus2d,ugal,credit_vc,1,4,mesh2d,ugal,credit_vc,1,load_aware,load_aware
106,-150384.194,4,k_split,7,141032,105154,4588,4681,16469,61218,0,0,444195,194,0,79.17317554240631,1.0,cube,16,27,5,mesh2d,xy,credit_vc,4,16,flat_butterfly,xy,wormhole,4,nearest,nearest
107,-3489616.556,16,k_split,7,3158720,2629698,491720,7638,0,835080,0,0,1030956,956,0,108.25458468176915,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,2,8,flat_butterfly,table_based,wormhole,8,load_aware,nearest
108,-3402520.648,16,expert,1,3146057,2629698,491720,9363,0,87144,156,0,5430744,1048,0,210.21628698612201,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,4,4,flat_butterfly,table_based,credit_vc,1,load_aware,round_robin
109,-127996.912,4,col,7,118519,95262,4588,3449,9612,64929,10,0,134403,212,0,143.15549215406563,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,1,4,flat_butterfly,xy,wormhole,1,load_aware,load_aware
110,-3695756.156,16,expert,1,3212588,2629698,491720,7638,0,2357796,0,0,3370008,956,0,38.44351865153474,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,2,4,flat_butterfly,xy,credit_vc,1,load_aware,nearest
111,-143870.416,4,k_split,7,129916,105154,4588,3942,8240,108717,1,0,118125,216,0,100.45245245245245,1.0,cube,16,27,5,torus2d,table_based,credit_vc,1,4,mesh2d,xy,wormhole,1,load_aware,round_robin
112,-3751004.756,16,expert,1,3189458,2629698,491720,7638,0,3141570,12,0,2533188,956,0,53.16486209065925,1.0,cube,16,27,5,mesh2d,ugal,wormhole,1,4,mesh2d,table_based,credit_vc,2,load_aware,nearest
113,-198742.794,4,k_split,4,192336,173634,7880,4681,3606,15304,0,0,444195,194,0,316.69270216962525,1.0,cube,16,27,5,mesh2d,table_based,wormhole,4,4,mesh2d,table_based,wormhole,1,nearest,nearest
114,-3550420.648,16,expert,1,3170939,2629698,491720,9363,0,1317480,0,0,1420296,1048,0,79.96573534538572,1.0,cube,16,27,5,torus2d,ugal,credit_vc,1,8,mesh2d,table_based,credit_vc,4,nearest,round_robin
